ReqId,ReqAddr,RefTraceCycle,ReqBusLatency,RespBusLatency,ReplcLatency,LatencyMinusRepl,TotLatency,WcReqLatency,WcRespLatency,WcReplcLatency,WcLatency,WcLatencyMinsRepl,AverageLatency
536,1005568,4350,7,140,17,130,147,177,144,20,301,301,148
541,1005632,4400,7,140,17,130,147,177,144,20,301,301,148
546,1005696,4450,7,140,41,106,147,177,144,41,301,301,148
552,1005760,4500,7,140,0,147,147,177,144,41,301,301,148
556,1005824,4550,7,140,21,126,147,177,144,41,301,301,148
563,1005888,4600,7,140,40,107,147,177,144,41,301,301,148
568,1005952,4650,47,120,21,146,167,177,144,41,301,301,149
573,1006016,4700,7,140,0,147,147,177,144,41,301,301,149
577,1006080,4750,7,140,21,126,147,177,144,41,301,301,148
583,1006144,4800,7,140,41,106,147,177,144,41,301,301,148
588,1006208,4850,15,136,0,151,151,177,144,41,301,301,148
592,1006272,4900,7,140,21,126,147,177,144,41,301,301,148
597,1006336,4950,7,140,0,147,147,177,144,41,301,301,148
602,1006400,5000,7,140,41,106,147,177,144,41,301,301,148
608,1006464,5050,15,136,21,130,151,177,144,41,301,301,148
612,1006528,5100,7,140,21,126,147,177,144,41,301,301,148
616,1006592,5150,15,136,0,151,151,177,144,41,301,301,148
621,1006656,5200,7,140,60,87,147,177,144,60,301,301,148
627,1006720,5250,7,140,20,127,147,177,144,60,301,301,148
631,1006784,5300,7,140,0,147,147,177,144,60,301,301,148
636,1006848,5350,7,140,21,126,147,177,144,60,301,301,148
642,1006912,5400,7,140,41,106,147,177,144,60,301,301,148
647,1006976,5450,7,140,0,147,147,177,144,60,301,301,148
651,1007040,5500,7,140,21,126,147,177,144,60,301,301,148
657,1007104,5550,7,140,20,127,147,177,144,60,301,301,148
662,1007168,5600,7,140,20,127,147,177,144,60,301,301,148
667,1007232,5650,7,140,41,106,147,177,144,60,301,301,148
672,1007296,5700,7,140,21,126,147,177,144,60,301,301,148
676,1007360,5750,7,140,0,147,147,177,144,60,301,301,148
681,1007424,5800,7,140,20,127,147,177,144,60,301,301,148
687,1007488,5850,7,140,21,126,147,177,144,60,301,301,148
692,1007552,5900,7,100,0,107,107,177,144,60,301,301,148
697,1007616,5950,7,140,17,130,147,177,144,60,301,301,148
701,1007680,6000,7,140,21,126,147,177,144,60,301,301,148
706,1007744,6050,15,136,21,130,151,177,144,60,301,301,148
711,1007808,6100,7,140,20,127,147,177,144,60,301,301,148
715,1007872,6150,15,136,13,138,151,177,144,60,301,301,148
720,1007936,6200,7,140,20,127,147,177,144,60,301,301,148
724,1008000,6250,15,135,0,150,150,177,144,60,301,301,148
730,1008064,6300,7,140,21,126,147,177,144,60,301,301,148
736,1008128,6350,15,136,21,130,151,177,144,60,301,301,148
741,1008192,6400,7,140,20,127,147,177,144,60,301,301,148
745,1008256,6450,15,136,13,138,151,177,144,60,301,301,148
750,1008320,6500,7,140,20,127,147,177,144,60,301,301,148
754,1008384,6550,7,140,41,106,147,177,144,60,301,301,148
760,1008448,6600,7,140,41,106,147,177,144,60,301,301,148
764,1008512,6650,7,140,21,126,147,177,144,60,301,301,148
768,1008576,6700,7,140,0,147,147,177,144,60,301,301,148
773,1008640,6750,7,140,0,147,147,177,144,60,301,301,148
779,1008704,6800,7,140,20,127,147,177,144,60,301,301,148
785,1008768,6850,15,136,13,138,151,177,144,60,301,301,148
790,1008832,6900,7,140,40,107,147,177,144,60,301,301,148
793,1008896,6950,7,140,21,126,147,177,144,60,301,301,148
