ReqId,ReqAddr,RefTraceCycle,ReqBusLatency,RespBusLatency,ReplcLatency,LatencyMinusRepl,TotLatency,WcReqLatency,WcRespLatency,WcReplcLatency,WcLatency,WcLatencyMinsRepl,AverageLatency
1,1777128,0,44,198,0,242,242,44,198,0,242,242,242
5,1777064,20,38,473,0,511,511,44,473,0,511,511,376
23,77712121,40,38,110,0,148,148,44,473,0,511,511,300
26,77712185,60,38,44,0,82,82,44,473,0,511,511,245
29,77712249,80,38,44,0,82,82,44,473,0,511,511,213
34,77712313,100,34,33,0,67,67,44,473,0,511,511,188
39,77712377,120,34,44,0,78,78,44,473,0,511,511,172
44,77712441,140,34,44,0,78,78,44,473,0,511,511,161
49,77712505,160,30,44,0,74,74,44,473,0,511,511,151
54,77712569,180,30,33,0,63,63,44,473,0,511,511,142
58,1778856,200,29,396,0,425,425,44,473,0,511,511,168
63,1778792,220,7,385,0,392,392,44,473,0,511,511,186
165,1778792,400,0,0,0,0,1,44,473,0,511,511,172
68,77712633,240,41,53,0,94,94,44,473,0,511,511,166
73,77712697,260,65,44,0,109,109,65,473,0,511,511,163
100,77712761,280,89,22,0,111,111,89,473,0,511,511,159
103,77712825,300,121,44,0,165,165,121,473,0,511,511,160
106,77712889,320,10,44,0,54,54,121,473,0,511,511,154
150,77712953,340,10,44,11,43,54,121,473,11,511,511,148
155,77713017,360,12,22,0,34,34,121,473,11,511,511,143
160,77713081,380,6,33,0,39,39,121,473,11,511,511,138
262,1778792,600,0,0,0,0,1,121,473,11,511,511,132
169,1778856,420,7,252,0,259,259,121,473,11,511,511,137
174,77713145,440,25,473,0,498,498,121,473,11,511,511,152
179,77713209,460,33,473,44,462,506,121,473,44,511,511,166
184,77713273,480,57,473,143,387,530,121,473,143,530,511,180
188,77713337,500,81,473,143,411,554,121,473,143,554,511,194
224,77713401,520,8,473,154,327,481,121,473,154,554,511,204
248,77713465,540,8,473,143,338,481,121,473,154,554,511,214
252,77713529,560,5,473,143,335,478,121,473,154,554,511,223
257,77713593,580,6,385,121,270,391,121,473,154,554,511,228
266,1777256,620,8,44,0,52,52,121,473,154,554,511,222
271,77713657,640,7,44,11,40,51,121,473,154,554,511,217
276,77713721,660,7,44,0,51,51,121,473,154,554,511,212
281,77713785,680,4,44,0,48,48,121,473,154,554,511,208
285,77713849,700,11,44,11,44,55,121,473,154,554,511,203
288,77713913,720,11,33,0,44,44,121,473,154,554,511,199
290,77713977,740,4,55,22,37,59,121,473,154,554,511,195
334,77714041,760,11,44,0,55,55,121,473,154,554,511,192
377,77714105,780,11,407,121,297,418,121,473,154,554,511,197
407,1777000,800,91,374,110,355,465,121,473,154,554,511,204
437,1777064,820,107,143,44,206,250,121,473,154,554,511,205
466,77714169,840,123,33,0,156,156,123,473,154,554,511,204
496,77714233,860,131,44,0,175,175,131,473,154,554,511,203
525,77714297,880,171,44,0,215,215,171,473,154,554,511,203
555,77714361,900,10,44,11,43,54,171,473,154,554,511,200
571,77714425,920,4,33,0,37,37,171,473,154,554,511,197
574,77714489,940,5,44,0,49,49,171,473,154,554,511,194
579,77714553,960,14,22,0,36,36,171,473,154,554,511,190
583,77714617,980,38,385,121,302,423,171,473,154,554,511,195
587,1778728,1000,4,77,11,70,81,171,473,154,554,511,193
673,1777256,1200,0,0,0,0,1,171,473,154,554,511,189
591,1777256,1020,71,43,11,103,114,171,473,154,554,511,188
595,77714681,1040,87,44,11,120,131,171,473,154,554,511,187
600,77714745,1060,127,33,0,160,160,171,473,154,554,511,186
604,77714809,1080,143,44,0,187,187,171,473,154,554,511,186
632,77714873,1100,12,44,0,56,56,171,473,154,554,511,184
656,77714937,1120,4,44,11,37,48,171,473,154,554,511,181
661,77715001,1140,12,44,0,56,56,171,473,154,554,511,179
665,77715065,1160,4,33,0,37,37,171,473,154,554,511,177
669,77715129,1180,29,396,121,304,425,171,473,154,554,511,181
677,1777128,1220,85,429,132,382,514,171,473,154,554,511,186
682,77715193,1240,0,473,143,330,473,171,473,154,554,511,191
685,77715257,1260,133,429,132,430,562,171,473,154,562,511,197
688,77715321,1280,12,473,154,331,485,171,473,154,562,511,201
706,77715385,1300,4,473,143,334,477,171,473,154,562,511,205
709,77715449,1320,13,374,110,277,387,171,473,154,562,511,208
713,77715513,1340,5,473,154,324,478,171,473,154,562,511,212
717,77715577,1360,9,473,143,339,482,171,473,154,562,511,216
722,77715641,1380,16,473,143,346,489,171,473,154,562,511,220
725,1778664,1400,23,473,154,342,496,171,473,154,562,511,224
886,1777256,1600,0,0,0,0,1,171,473,154,562,511,221
