ReqId,ReqAddr,RefTraceCycle,ReqBusLatency,RespBusLatency,ReplcLatency,LatencyMinusRepl,TotLatency,WcReqLatency,WcRespLatency,WcReplcLatency,WcLatency,WcLatencyMinsRepl,AverageLatency
2,3713528664,0,4,51,0,55,55,4,51,0,55,55,55
6,3713528728,0,7,11,0,18,18,7,51,0,55,55,36
10,3713528856,0,13,11,0,24,24,13,51,0,55,55,32
11,3713528920,0,16,11,0,27,27,16,51,0,55,55,31
12,3713528984,0,18,11,0,29,29,18,51,0,55,55,30
13,3713529048,0,21,11,0,32,32,21,51,0,55,55,30
18,3713529368,0,0,11,0,11,11,21,51,0,55,55,28
14,3713529112,0,24,11,0,35,35,24,51,0,55,55,28
15,3713529176,0,26,11,0,37,37,26,51,0,55,55,29
16,3713529240,0,29,11,0,40,40,29,51,0,55,55,30
19,3713529432,0,1,11,0,12,12,29,51,0,55,55,29
20,3713529496,0,1,11,0,12,12,29,51,0,55,55,27
21,3713529560,0,3,11,0,14,14,29,51,0,55,55,26
22,3713529624,0,0,11,0,11,11,29,51,0,55,55,25
9,3713528792,0,10,11,0,21,21,29,51,0,55,55,25
30,3713529688,0,1,11,0,12,12,29,51,0,55,55,24
17,3713529304,0,3,11,0,14,14,29,51,0,55,55,23
38,3713529880,0,0,22,0,22,22,29,51,0,55,55,23
37,3713529816,0,3,22,0,25,25,29,51,0,55,55,23
42,3713529944,0,1,11,0,12,12,29,51,0,55,55,23
43,3713530008,0,1,11,0,12,12,29,51,0,55,55,22
47,3713530072,0,3,11,0,14,14,29,51,0,55,55,22
48,3713530136,0,0,11,0,11,11,29,51,0,55,55,21
61,3713530392,0,14,22,0,36,36,29,51,0,55,55,22
52,3713530200,0,1,11,0,12,12,29,51,0,55,55,21
62,3713530456,0,0,11,0,11,11,29,51,0,55,55,21
66,3713530520,0,4,11,0,15,15,29,51,0,55,55,21
67,3713530584,0,4,11,0,15,15,29,51,0,55,55,21
71,3713530648,0,4,11,0,15,15,29,51,0,55,55,20
72,3713530712,0,4,11,0,15,15,29,51,0,55,55,20
33,3713529752,0,1,11,0,12,12,29,51,0,55,55,20
81,3713530904,0,4,11,0,15,15,29,51,0,55,55,20
82,3713530968,0,4,11,0,15,15,29,51,0,55,55,20
83,3713531032,0,4,11,0,15,15,29,51,0,55,55,19
84,3713531096,0,4,11,0,15,15,29,51,0,55,55,19
85,3713531160,0,4,11,0,15,15,29,51,0,55,55,19
86,3713531224,0,4,11,0,15,15,29,51,0,55,55,19
53,3713530264,0,4,11,0,15,15,29,51,0,55,55,19
76,3713530776,0,4,11,0,15,15,29,51,0,55,55,19
89,3713531416,0,4,11,0,15,15,29,51,0,55,55,19
90,3713531480,0,4,11,0,15,15,29,51,0,55,55,19
91,3713531544,0,4,11,0,15,15,29,51,0,55,55,18
92,3713531608,0,4,11,0,15,15,29,51,0,55,55,18
93,3713531672,0,4,11,0,15,15,29,51,0,55,55,18
94,3713531736,0,4,11,0,15,15,29,51,0,55,55,18
87,3713531288,0,4,11,0,15,15,29,51,0,55,55,18
95,3713531800,0,4,11,0,15,15,29,51,0,55,55,18
97,3713531928,0,4,11,0,15,15,29,51,0,55,55,18
98,3713531992,0,4,11,0,15,15,29,51,0,55,55,18
99,3713532056,0,4,11,0,15,15,29,51,0,55,55,18
101,3713532120,0,4,11,0,15,15,29,51,0,55,55,18
102,3713532184,0,4,11,0,15,15,29,51,0,55,55,18
104,3713532248,0,4,11,0,15,15,29,51,0,55,55,18
105,3713532312,0,4,11,0,15,15,29,51,0,55,55,18
57,3713530328,0,4,11,0,15,15,29,51,0,55,55,18
109,3713532440,0,4,11,0,15,15,29,51,0,55,55,17
111,3713532504,0,4,11,0,15,15,29,51,0,55,55,17
112,3713532568,0,4,22,0,26,26,29,51,0,55,55,18
113,3713532632,0,4,22,0,26,26,29,51,0,55,55,18
114,3713532696,0,4,11,0,15,15,29,51,0,55,55,18
115,3713532760,0,4,11,0,15,15,29,51,0,55,55,18
116,3713532824,0,4,11,0,15,15,29,51,0,55,55,18
79,3713530840,0,4,11,0,15,15,29,51,0,55,55,17
119,3713532952,0,14,22,0,36,36,29,51,0,55,55,18
88,3713531352,0,4,33,0,37,37,29,51,0,55,55,18
124,3713533272,0,7,51,0,58,58,29,51,0,58,58,19
125,3713533336,0,7,51,0,58,58,29,51,0,58,58,19
126,3713533400,0,7,51,0,58,58,29,51,0,58,58,20
127,3713533464,0,7,51,0,58,58,29,51,0,58,58,20
120,3713533016,0,4,55,0,59,59,29,55,0,59,59,21
128,3713533528,0,7,11,0,18,18,29,55,0,59,59,21
121,3713533080,0,4,11,0,15,15,29,55,0,59,59,21
122,3713533144,0,4,11,0,15,15,29,55,0,59,59,21
123,3713533208,0,4,11,0,15,15,29,55,0,59,59,21
129,3713533592,0,97,11,0,108,108,97,55,0,108,108,22
130,3713533656,0,51,11,0,62,62,97,55,0,108,108,22
131,3713533720,0,0,11,0,11,11,97,55,0,108,108,22
132,3713533784,0,1,11,0,12,12,97,55,0,108,108,22
96,3713531864,0,4,11,0,15,15,97,55,0,108,108,22
133,3713533848,0,2,11,0,13,13,97,55,0,108,108,22
108,3713532376,0,4,11,0,15,15,97,55,0,108,108,22
137,3713534104,0,4,11,0,15,15,97,55,0,108,108,22
135,3713533976,0,0,11,0,11,11,97,55,0,108,108,21
136,3713534040,0,4,11,0,15,15,97,55,0,108,108,21
138,3713534168,0,4,11,0,15,15,97,55,0,108,108,21
139,3713534232,0,4,11,0,15,15,97,55,0,108,108,21
140,3713534296,0,4,11,0,15,15,97,55,0,108,108,21
143,3713534488,0,3,11,0,14,14,97,55,0,108,108,21
144,3713534552,0,4,11,0,15,15,97,55,0,108,108,21
141,3713534360,0,4,11,0,15,15,97,55,0,108,108,21
145,3713534616,0,1,11,0,12,12,97,55,0,108,108,21
118,3713532888,0,14,11,0,25,25,97,55,0,108,108,21
146,3713534680,0,4,11,0,15,15,97,55,0,108,108,21
148,3713534808,0,4,11,0,15,15,97,55,0,108,108,21
147,3713534744,0,1,11,0,12,12,97,55,0,108,108,21
156,3713535000,0,4,11,0,15,15,97,55,0,108,108,21
158,3713535064,0,4,11,0,15,15,97,55,0,108,108,20
161,3713535128,0,4,11,0,15,15,97,55,0,108,108,20
164,3713535192,0,4,11,0,15,15,97,55,0,108,108,20
167,3713535256,0,4,11,0,15,15,97,55,0,108,108,20
170,3713535320,0,4,11,0,15,15,97,55,0,108,108,20
151,3713534872,0,4,11,0,15,15,97,55,0,108,108,20
134,3713533912,0,2,44,0,46,46,97,55,0,108,108,20
177,3713535512,0,4,11,0,15,15,97,55,0,108,108,20
180,3713535576,0,4,11,0,15,15,97,55,0,108,108,20
182,3713535640,0,4,11,0,15,15,97,55,0,108,108,20
185,3713535704,0,4,11,0,15,15,97,55,0,108,108,20
187,3713535768,0,37,11,0,48,48,97,55,0,108,108,20
172,3713535384,0,4,11,0,15,15,97,55,0,108,108,20
190,3713535896,0,4,11,0,15,15,97,55,0,108,108,20
142,3713534424,0,4,11,0,15,15,97,55,0,108,108,20
192,3713536024,0,4,11,0,15,15,97,55,0,108,108,20
193,3713536088,0,4,11,0,15,15,97,55,0,108,108,20
194,3713536152,0,4,11,0,15,15,97,55,0,108,108,20
195,3713536216,0,4,11,0,15,15,97,55,0,108,108,20
196,3713536280,0,4,11,0,15,15,97,55,0,108,108,20
189,3713535832,0,4,11,0,15,15,97,55,0,108,108,20
197,3713536344,0,4,11,0,15,15,97,55,0,108,108,20
198,3713536408,0,4,11,0,15,15,97,55,0,108,108,20
200,3713536536,0,4,11,0,15,15,97,55,0,108,108,20
201,3713536600,0,4,11,0,15,15,97,55,0,108,108,20
202,3713536664,0,4,11,0,15,15,97,55,0,108,108,20
203,3713536728,0,4,11,0,15,15,97,55,0,108,108,20
204,3713536792,0,4,11,0,15,15,97,55,0,108,108,20
205,3713536856,0,4,11,0,15,15,97,55,0,108,108,20
206,3713536920,0,4,11,0,15,15,97,55,0,108,108,20
153,3713534936,0,4,11,0,15,15,97,55,0,108,108,20
208,3713537048,0,4,11,0,15,15,97,55,0,108,108,20
209,3713537112,0,4,11,0,15,15,97,55,0,108,108,19
210,3713537176,0,4,11,0,15,15,97,55,0,108,108,19
211,3713537240,0,4,11,0,15,15,97,55,0,108,108,19
212,3713537304,0,4,11,0,15,15,97,55,0,108,108,19
213,3713537368,0,4,11,0,15,15,97,55,0,108,108,19
214,3713537432,0,4,11,0,15,15,97,55,0,108,108,19
216,3713537560,0,4,44,0,48,48,97,55,0,108,108,20
199,3713536472,0,4,11,0,15,15,97,55,0,108,108,19
223,3713537880,0,7,51,0,58,58,97,55,0,108,108,20
225,3713537944,0,7,51,0,58,58,97,55,0,108,108,20
226,3713538008,0,7,51,0,58,58,97,55,0,108,108,20
227,3713538072,0,7,51,11,47,58,97,55,11,108,108,21
217,3713537624,0,4,88,0,92,92,97,88,11,108,108,21
228,3713538136,0,7,11,0,18,18,97,88,11,108,108,21
218,3713537688,0,4,11,0,15,15,97,88,11,108,108,21
219,3713537752,0,4,11,0,15,15,97,88,11,108,108,21
221,3713537816,0,26,11,0,37,37,97,88,11,108,108,21
229,3713538200,0,73,11,0,84,84,97,88,11,108,108,21
175,3713535448,0,4,11,0,15,15,97,88,11,108,108,21
191,3713535960,0,4,11,0,15,15,97,88,11,108,108,21
230,3713538264,0,1,11,0,12,12,97,88,11,108,108,21
231,3713538328,0,1,11,0,12,12,97,88,11,108,108,21
232,3713538392,0,3,11,0,14,14,97,88,11,108,108,21
235,3713538584,0,4,11,0,15,15,97,88,11,108,108,21
236,3713538648,0,4,11,0,15,15,97,88,11,108,108,21
237,3713538712,0,4,11,0,15,15,97,88,11,108,108,21
233,3713538456,0,0,11,0,11,11,97,88,11,108,108,21
238,3713538776,0,4,11,0,15,15,97,88,11,108,108,21
239,3713538840,0,4,11,0,15,15,97,88,11,108,108,21
240,3713538904,0,3,11,0,14,14,97,88,11,108,108,21
243,3713539096,0,0,11,0,11,11,97,88,11,108,108,21
241,3713538968,0,1,11,0,12,12,97,88,11,108,108,21
244,3713539160,0,4,11,0,15,15,97,88,11,108,108,21
245,3713539224,0,4,11,0,15,15,97,88,11,108,108,21
207,3713536984,0,4,11,0,15,15,97,88,11,108,108,21
247,3713539288,0,4,11,0,15,15,97,88,11,108,108,21
215,3713537496,0,4,11,0,15,15,97,88,11,108,108,21
249,3713539352,0,4,11,0,15,15,97,88,11,108,108,21
253,3713539480,0,4,11,0,15,15,97,88,11,108,108,20
258,3713539608,0,4,22,0,26,26,97,88,11,108,108,21
263,3713539736,0,4,11,0,15,15,97,88,11,108,108,20
267,3713539800,0,4,11,0,15,15,97,88,11,108,108,20
261,3713539672,0,4,22,0,26,26,97,88,11,108,108,20
269,3713539864,0,4,11,0,15,15,97,88,11,108,108,20
251,3713539416,0,4,11,0,15,15,97,88,11,108,108,20
272,3713539928,0,14,11,0,25,25,97,88,11,108,108,20
274,3713539992,0,4,11,0,15,15,97,88,11,108,108,20
279,3713540120,0,14,11,0,25,25,97,88,11,108,108,20
282,3713540184,0,4,11,0,15,15,97,88,11,108,108,20
234,3713538520,0,4,11,0,15,15,97,88,11,108,108,20
284,3713540248,0,4,11,0,15,15,97,88,11,108,108,20
